time,hum_rh,temp
2024-10-28T09,30,21.1
2024-10-28T10,30,22.1
2024-10-28T11,35,23.3
2024-10-28T12,30,22.9
2024-10-28T13,28,23.0
2024-10-28T14,27,23.2
2024-10-28T15,26,23.3
2024-10-28T16,26,23.2
2024-10-28T17,26,23.3
2024-10-28T18,25,23.2
2024-10-28T19,25,23.2
2024-10-28T20,25,23.4
2024-10-28T21,25,23.5
2024-10-28T22,25,23.6
2024-10-28T23,25,23.6
2024-10-29T00,24,23.8
2024-10-29T01,25,23.9
2024-10-29T02,24,24.0
2024-10-29T03,24,24.0
2024-10-29T04,24,24.1
2024-10-29T05,22,23.6
2024-10-29T06,22,23.5
2024-10-29T07,22,23.5
2024-10-29T08,22,23.8
2024-10-29T09,24,24.1
2024-10-29T10,22,24.3
2024-10-29T11,21,23.1
2024-10-29T12,17,17.5
2024-10-29T13,12,14.9
2024-10-29T14,12,14.2
2024-10-29T15,17,14.8
2024-10-29T16,19,14.8
2024-10-29T17,12,14.0
2024-10-29T18,12,13.2
2024-10-29T19,15,12.3
2024-10-29T20,15,11.6
2024-10-29T21,15,11.2
2024-10-29T22,10,10.6
2024-10-29T23,10,10.1
2024-10-30T00,10,9.5
2024-10-30T01,10,9.0
2024-10-30T02,10,8.6
2024-10-30T03,10,8.4
2024-10-30T04,10,8.2
2024-10-30T05,10,8.3
2024-10-30T06,15,9.5
2024-10-30T07,15,11.5
2024-10-30T08,21,15.0
2024-10-30T09,24,16.8
2024-10-30T10,21,16.9
2024-10-30T11,24,16.8
2024-10-30T12,24,18.2
2024-10-30T13,26,19.8
2024-10-30T14,26,20.8
2024-10-30T15,26,21.1
2024-10-30T16,26,20.6
2024-10-30T17,26,19.5
2024-10-30T18,25,18.1
2024-10-30T19,25,16.8
2024-10-30T20,24,15.5
2024-10-30T21,24,14.5
2024-10-30T22,21,13.5
2024-10-30T23,21,12.8
2024-10-31T00,22,12.1
2024-10-31T01,20,11.5
2024-10-31T02,20,10.8
2024-10-31T03,15,10.3
2024-10-31T04,20,10.0
2024-10-31T05,15,9.6
2024-10-31T06,25,12.5
2024-10-31T07,25,14.4
2024-10-31T08,26,16.2
2024-10-31T09,26,17.8
2024-10-31T10,29,20.5
2024-10-31T11,31,24.0
2024-10-31T12,32,26.5
2024-10-31T13,32,27.8
2024-10-31T14,34,29.3
2024-10-31T15,34,29.8
2024-10-31T16,33,29.0
2024-10-31T17,33,27.2
2024-10-31T18,31,25.3
2024-10-31T19,31,23.3
2024-10-31T20,31,21.8
2024-10-31T21,30,20.6
2024-10-31T22,30,19.6
2024-10-31T23,30,18.6
2024-11-01T00,29,18.1
2024-11-01T01,30,17.5
2024-11-01T02,30,17.2
2024-11-01T03,30,17.0
2024-11-01T04,30,16.9
2024-11-01T05,30,16.8
2024-11-01T06,30,17.9
2024-11-01T07,31,19.2
2024-11-01T08,31,20.4
2024-11-01T09,32,21.3
2024-11-01T10,32,22.8
2024-11-01T11,34,24.3
2024-11-01T12,35,26.1
2024-11-01T13,34,24.6
2024-11-01T14,35,25.6
2024-11-01T15,35,26.5
2024-11-01T16,35,26.1
2024-11-01T17,34,24.6
2024-11-01T18,32,22.6
2024-11-01T19,31,20.5
2024-11-01T20,31,18.8
2024-11-01T21,31,16.8
2024-11-01T22,30,15.1
2024-11-01T23,29,13.6
2024-11-02T00,29,12.3
2024-11-02T01,28,11.2
2024-11-02T02,28,10.3
2024-11-02T03,27,10.1
2024-11-02T04,27,9.6
2024-11-02T05,27,9.1
2024-11-02T06,26,8.6
2024-11-02T07,26,8.2
2024-11-02T08,26,8.3
2024-11-02T09,27,9.1
2024-11-02T10,29,10.4
2024-11-02T11,30,12.2
2024-11-02T12,30,13.9
2024-11-02T13,31,15.2
2024-11-02T14,31,16.1
2024-11-02T15,32,16.5
2024-11-02T16,32,16.9
2024-11-02T17,32,17.1
2024-11-02T18,33,17.3
2024-11-02T19,33,17.5
2024-11-02T20,32,17.8
2024-11-02T21,32,18.0
2024-11-02T22,32,18.1
2024-11-02T23,32,18.0
2024-11-03T00,32,17.9
2024-11-03T01,32,17.6
2024-11-03T02,33,17.4
2024-11-03T03,34,17.2
2024-11-03T04,33,16.9
2024-11-03T05,33,16.6
2024-11-03T06,33,16.5
2024-11-03T07,33,16.9
2024-11-03T08,34,17.2
2024-11-03T09,33,17.6
2024-11-03T10,33,18.1
2024-11-03T11,34,18.3
2024-11-03T12,34,18.3
2024-11-03T13,34,18.4
2024-11-03T14,34,18.2
2024-11-03T15,34,18.2
2024-11-03T16,34,17.5
2024-11-03T17,33,16.2
2024-11-03T18,31,14.5
2024-11-03T19,31,12.6
2024-11-03T20,31,10.9
2024-11-03T21,30,9.2
2024-11-03T22,28,7.8
2024-11-03T23,29,6.2
2024-11-04T00,27,4.9
2024-11-04T01,26,3.6
2024-11-04T02,26,2.5
2024-11-04T03,25,1.5
2024-11-04T04,25,0.8
2024-11-04T05,21,-0.1
2024-11-04T06,25,0.5
2024-11-04T07,29,4.6
2024-11-04T08,31,8.8
2024-11-04T09,31,10.8
2024-11-04T10,32,11.5
2024-11-04T11,32,11.9
2024-11-04T12,32,11.9
2024-11-04T13,31,11.6
2024-11-04T14,31,11.2
2024-11-04T15,31,10.8
2024-11-04T16,31,11.3
2024-11-04T17,34,14.1
2024-11-04T18,35,17.1
2024-11-04T19,36,19.9
2024-11-04T20,36,21.5
2024-11-04T21,36,21.3
2024-11-04T22,36,20.5
2024-11-04T23,35,19.2
2024-11-05T00,34,17.9
2024-11-05T01,35,16.5
2024-11-05T02,34,15.2
2024-11-05T03,32,14.0
2024-11-05T04,32,12.8
2024-11-05T05,32,11.8
2024-11-05T06,31,10.6
2024-11-05T07,31,9.8
2024-11-05T08,31,9.0
2024-11-05T09,30,8.2
2024-11-05T10,31,9.9
2024-11-05T11,34,13.5
2024-11-05T12,35,17.6
2024-11-05T13,39,22.1
2024-11-05T14,28,21.8
2024-11-05T15,21,23.5
2024-11-05T16,10,25.2
2024-11-05T17,10,25.5
2024-11-05T18,10,25.0
2024-11-05T19,10,24.5
2024-11-05T20,10,24.9
2024-11-05T21,10,21.9
2024-11-05T22,10,19.6
2024-11-05T23,10,17.9
2024-11-06T00,10,16.4
2024-11-06T01,12,15.1
2024-11-06T02,12,13.9
2024-11-06T03,12,12.8
2024-11-06T04,22,11.9
2024-11-06T05,22,11.1
2024-11-06T06,25,10.2
2024-11-06T07,25,9.5
2024-11-06T08,26,9.1
2024-11-06T09,27,9.0
2024-11-06T10,28,9.3
2024-11-06T11,30,11.1
2024-11-06T12,30,13.6
2024-11-06T13,26,16.5
2024-11-06T14,20,20.3
2024-11-06T15,10,20.5
2024-11-06T16,10,22.9
2024-11-06T17,10,23.8
2024-11-06T18,10,23.9
2024-11-06T19,10,22.8
2024-11-06T20,10,21.2
2024-11-06T21,10,18.9
2024-11-06T22,10,16.8
2024-11-06T23,10,15.2
2024-11-07T00,10,13.8
2024-11-07T01,10,12.5
2024-11-07T02,10,11.6
2024-11-07T03,10,11.2
2024-11-07T04,10,11.0
2024-11-07T05,10,10.6
2024-11-07T06,10,10.3
2024-11-07T07,10,9.6
2024-11-07T08,10,8.8
2024-11-07T09,15,8.0
2024-11-07T10,15,7.8
2024-11-07T11,25,11.1
2024-11-07T12,25,16.8
2024-11-07T13,16,20.9
2024-11-07T14,10,24.1
2024-11-07T15,10,26.3
2024-11-07T16,10,27.6
2024-11-07T17,10,28.1
2024-11-07T18,10,27.8
2024-11-07T19,10,26.3
2024-11-07T20,10,21.3
2024-11-07T21,10,21.2
2024-11-07T22,10,21.0
2024-11-07T23,10,20.9
2024-11-08T00,12,20.8
2024-11-08T01,12,20.6
2024-11-08T02,12,20.5
2024-11-08T03,10,20.3
2024-11-08T04,12,20.4
2024-11-08T05,12,20.2
2024-11-08T06,12,20.2
2024-11-08T07,12,20.1
2024-11-08T08,12,20.1
2024-11-08T09,17,20.0
2024-11-08T10,16,20.1
2024-11-08T11,16,19.9
2024-11-08T12,12,19.9
2024-11-08T13,17,20.0
2024-11-08T14,17,20.1
2024-11-08T15,12,19.5
2024-11-08T16,12,19.2
2024-11-08T17,16,19.5
2024-11-08T18,16,19.2
2024-11-08T19,12,17.8
2024-11-08T20,12,15.5
2024-11-08T21,10,13.5
2024-11-08T22,10,13.2
2024-11-08T23,12,14.2
2024-11-09T00,12,14.6
2024-11-09T01,12,14.8
2024-11-09T02,12,14.8
2024-11-09T03,12,14.6
2024-11-09T04,12,14.5
2024-11-09T05,12,14.4
2024-11-09T06,12,14.3
2024-11-09T07,12,14.2
2024-11-09T08,12,14.3
2024-11-09T09,12,14.3
2024-11-09T10,12,14.3
2024-11-09T11,12,14.5
2024-11-09T12,12,14.4
2024-11-09T13,12,14.4
2024-11-09T14,12,14.3
2024-11-09T15,12,14.2
2024-11-09T16,12,14.2
2024-11-09T17,12,14.2
2024-11-09T18,19,14.3
2024-11-09T19,17,14.3
2024-11-09T20,19,14.3
2024-11-09T21,12,14.3
2024-11-09T22,12,14.3
2024-11-09T23,19,14.1
2024-11-10T00,19,14.1
2024-11-10T01,19,13.9
2024-11-10T02,17,13.8
2024-11-10T03,17,13.6
2024-11-10T04,17,13.5
2024-11-10T05,21,13.4
2024-11-10T06,21,13.3
2024-11-10T07,21,13.5
2024-11-10T08,21,14.0
2024-11-10T09,24,14.2
2024-11-10T10,21,14.4
2024-11-10T11,24,14.3
2024-11-10T12,24,14.3
2024-11-10T13,24,14.2
2024-11-10T14,25,14.2
2024-11-10T15,25,14.2
2024-11-10T16,25,14.2
2024-11-10T17,25,14.1
2024-11-10T18,25,14.1
2024-11-10T19,24,12.8
2024-11-10T20,25,11.4
2024-11-10T21,22,10.5
2024-11-10T22,22,10.1
2024-11-10T23,23,9.5
2024-11-11T00,23,9.1
2024-11-11T01,23,8.6
2024-11-11T02,22,8.3
2024-11-11T03,23,8.2
2024-11-11T04,23,8.2
2024-11-11T05,23,8.1
2024-11-11T06,23,8.2
2024-11-11T07,23,8.2
2024-11-11T08,23,8.1
2024-11-11T09,20,8.2
2024-11-11T10,22,8.6
2024-11-11T11,25,9.6
2024-11-11T12,27,11.3
2024-11-11T13,29,13.1
2024-11-11T14,30,14.8
2024-11-11T15,31,15.9
2024-11-11T16,31,16.3
2024-11-11T17,31,16.3
2024-11-11T18,31,15.6
2024-11-11T19,31,15.1
2024-11-11T20,31,14.6
2024-11-11T21,31,14.2
2024-11-11T22,31,13.9
2024-11-11T23,30,13.6
2024-11-12T00,30,13.1
2024-11-12T01,31,12.5
2024-11-12T02,30,12.0
2024-11-12T03,30,11.2
2024-11-12T04,30,10.3
2024-11-12T05,30,9.9
2024-11-12T06,29,9.5
2024-11-12T07,30,10.0
2024-11-12T08,30,10.3
2024-11-12T09,35,16.1
2024-11-12T10,36,20.6
