time,hum_rh,temp
2024-10-28T09,30,21.0
2024-10-28T10,30,22.1
2024-10-28T11,26,22.6
2024-10-28T12,30,22.9
2024-10-28T13,29,22.8
2024-10-28T14,27,23.1
2024-10-28T15,27,23.1
2024-10-28T16,26,23.2
2024-10-28T17,26,23.2
2024-10-28T18,26,23.1
2024-10-28T19,26,23.1
2024-10-28T20,25,23.3
2024-10-28T21,25,23.3
2024-10-28T22,25,23.5
2024-10-28T23,24,23.5
2024-10-29T00,25,23.6
2024-10-29T01,25,23.8
2024-10-29T02,23,23.8
2024-10-29T03,23,23.9
2024-10-29T04,23,23.9
2024-10-29T05,23,23.5
2024-10-29T06,23,23.3
2024-10-29T07,23,23.4
2024-10-29T08,23,23.6
2024-10-29T09,23,24.0
2024-10-29T10,23,24.1
2024-10-29T11,20,20.3
2024-10-29T12,10,14.9
2024-10-29T13,10,13.2
2024-10-29T14,10,12.9
2024-10-29T15,16,13.5
2024-10-29T16,16,14.0
2024-10-29T17,16,13.9
2024-10-29T18,16,13.6
2024-10-29T19,16,13.1
2024-10-29T20,18,12.5
2024-10-29T21,18,12.1
2024-10-29T22,10,11.6
2024-10-29T23,10,11.1
2024-10-30T00,10,10.5
2024-10-30T01,10,10.1
2024-10-30T02,10,9.5
2024-10-30T03,10,9.1
2024-10-30T04,10,8.9
2024-10-30T05,10,8.6
2024-10-30T06,10,9.1
2024-10-30T07,18,11.5
2024-10-30T08,25,15.3
2024-10-30T09,26,16.8
2024-10-30T10,26,16.8
2024-10-30T11,26,16.8
2024-10-30T12,26,18.2
2024-10-30T13,28,19.8
2024-10-30T14,29,20.8
2024-10-30T15,30,21.2
2024-10-30T16,29,20.5
2024-10-30T17,28,19.2
2024-10-30T18,27,18.0
2024-10-30T19,27,16.5
2024-10-30T20,26,15.2
2024-10-30T21,26,14.1
2024-10-30T22,26,13.3
2024-10-30T23,26,12.5
2024-10-31T00,26,11.8
2024-10-31T01,25,11.2
2024-10-31T02,25,10.5
2024-10-31T03,25,10.1
2024-10-31T04,25,9.5
2024-10-31T05,25,9.5
2024-10-31T06,26,12.8
2024-10-31T07,28,15.0
2024-10-31T08,30,16.8
2024-10-31T09,30,17.9
2024-10-31T10,32,19.9
2024-10-31T11,35,23.4
2024-10-31T12,36,26.0
2024-10-31T13,37,27.3
2024-10-31T14,37,28.9
2024-10-31T15,36,29.2
2024-10-31T16,36,28.5
2024-10-31T17,35,26.6
2024-10-31T18,34,24.6
2024-10-31T19,33,22.8
2024-10-31T20,33,21.1
2024-10-31T21,32,20.0
2024-10-31T22,32,19.1
2024-10-31T23,32,18.2
2024-11-01T00,31,17.6
2024-11-01T01,32,17.1
2024-11-01T02,32,16.9
2024-11-01T03,33,16.6
2024-11-01T04,33,16.6
2024-11-01T05,34,16.6
2024-11-01T06,34,17.9
2024-11-01T07,35,19.1
2024-11-01T08,35,20.1
2024-11-01T09,36,21.1
2024-11-01T10,36,22.6
2024-11-01T11,38,24.3
2024-11-01T12,39,26.2
2024-11-01T13,37,24.5
2024-11-01T14,39,25.6
2024-11-01T15,39,26.3
2024-11-01T16,38,25.8
2024-11-01T17,36,24.1
2024-11-01T18,36,22.1
2024-11-01T19,35,19.9
2024-11-01T20,34,18.0
2024-11-01T21,34,16.1
2024-11-01T22,34,14.5
2024-11-01T23,32,13.2
2024-11-02T00,33,11.9
2024-11-02T01,32,10.8
2024-11-02T02,31,10.1
2024-11-02T03,32,9.9
2024-11-02T04,31,9.5
2024-11-02T05,31,9.0
2024-11-02T06,31,8.5
2024-11-02T07,30,8.2
2024-11-02T08,31,8.2
2024-11-02T09,32,8.9
2024-11-02T10,33,10.2
2024-11-02T11,35,11.9
2024-11-02T12,35,13.6
2024-11-02T13,35,14.9
2024-11-02T14,36,15.6
2024-11-02T15,36,16.2
2024-11-02T16,36,16.6
2024-11-02T17,36,16.8
2024-11-02T18,37,17.1
2024-11-02T19,37,17.3
2024-11-02T20,37,17.5
2024-11-02T21,36,17.6
2024-11-02T22,36,17.8
2024-11-02T23,36,17.8
2024-11-03T00,37,17.5
2024-11-03T01,37,17.4
2024-11-03T02,37,17.2
2024-11-03T03,37,16.9
2024-11-03T04,36,16.6
2024-11-03T05,36,16.4
2024-11-03T06,36,16.2
2024-11-03T07,37,16.5
2024-11-03T08,37,16.9
2024-11-03T09,38,17.3
2024-11-03T10,37,17.9
2024-11-03T11,37,18.2
2024-11-03T12,37,18.2
2024-11-03T13,37,18.2
2024-11-03T14,37,18.1
2024-11-03T15,37,18.1
2024-11-03T16,37,17.2
2024-11-03T17,36,15.6
2024-11-03T18,35,13.5
2024-11-03T19,35,11.5
2024-11-03T20,34,9.6
2024-11-03T21,32,8.1
2024-11-03T22,33,6.5
2024-11-03T23,31,5.1
2024-11-04T00,31,3.8
2024-11-04T01,31,2.6
2024-11-04T02,31,1.5
2024-11-04T03,30,0.5
2024-11-04T04,30,-0.2
2024-11-04T05,30,-0.9
2024-11-04T06,30,-0.2
2024-11-04T07,34,4.5
2024-11-04T08,35,9.1
2024-11-04T09,36,11.1
2024-11-04T10,36,11.6
2024-11-04T11,36,11.9
2024-11-04T12,36,11.6
2024-11-04T13,35,11.0
2024-11-04T14,35,10.3
2024-11-04T15,35,9.9
2024-11-04T16,36,10.4
2024-11-04T17,37,13.3
2024-11-04T18,40,17.0
2024-11-04T19,40,19.8
2024-11-04T20,41,21.4
2024-11-04T21,40,21.4
2024-11-04T22,40,20.9
2024-11-04T23,39,19.8
2024-11-05T00,37,18.5
2024-11-05T01,38,17.2
2024-11-05T02,37,16.0
2024-11-05T03,36,14.6
2024-11-05T04,35,13.4
2024-11-05T05,35,12.3
2024-11-05T06,35,11.2
2024-11-05T07,34,10.3
2024-11-05T08,34,9.4
2024-11-05T09,34,8.6
2024-11-05T10,34,9.3
2024-11-05T11,36,12.5
2024-11-05T12,38,15.8
2024-11-05T13,38,19.9
2024-11-05T14,34,20.2
2024-11-05T15,21,23.0
2024-11-05T16,15,24.6
2024-11-05T17,10,25.0
2024-11-05T18,10,24.9
2024-11-05T19,10,24.1
2024-11-05T20,10,24.6
2024-11-05T21,10,21.6
2024-11-05T22,10,19.3
2024-11-05T23,10,17.6
2024-11-06T00,10,15.9
2024-11-06T01,16,14.5
2024-11-06T02,20,13.4
2024-11-06T03,25,12.3
2024-11-06T04,26,11.5
2024-11-06T05,26,10.6
2024-11-06T06,26,10.0
2024-11-06T07,27,9.3
2024-11-06T08,29,8.9
2024-11-06T09,30,8.6
2024-11-06T10,31,9.1
2024-11-06T11,33,11.1
2024-11-06T12,31,13.5
2024-11-06T13,23,17.8
2024-11-06T14,10,24.2
2024-11-06T15,10,26.8
2024-11-06T16,10,28.0
2024-11-06T17,10,28.2
2024-11-06T18,10,27.3
2024-11-06T19,10,27.0
2024-11-06T20,10,24.5
2024-11-06T21,10,22.8
2024-11-06T22,10,21.4
2024-11-06T23,10,20.2
2024-11-07T00,10,19.1
2024-11-07T01,10,18.1
2024-11-07T02,10,17.6
2024-11-07T03,10,17.4
2024-11-07T04,10,17.3
2024-11-07T05,10,17.0
2024-11-07T06,10,16.6
2024-11-07T07,10,15.9
2024-11-07T08,10,14.9
2024-11-07T09,10,14.1
2024-11-07T10,10,13.9
2024-11-07T11,10,17.2
2024-11-07T12,10,21.5
2024-11-07T13,10,25.2
2024-11-07T14,10,27.8
2024-11-07T15,10,29.1
2024-11-07T16,10,29.8
2024-11-07T17,10,30.0
2024-11-07T18,10,29.6
2024-11-07T19,10,24.9
2024-11-07T20,10,21.9
2024-11-07T21,10,21.5
2024-11-07T22,10,21.1
2024-11-07T23,10,20.9
2024-11-08T00,10,20.6
2024-11-08T01,10,20.5
2024-11-08T02,10,20.3
2024-11-08T03,10,20.3
2024-11-08T04,10,20.3
2024-11-08T05,10,20.2
2024-11-08T06,10,20.1
2024-11-08T07,10,20.1
2024-11-08T08,10,20.1
2024-11-08T09,10,20.0
2024-11-08T10,10,20.0
2024-11-08T11,10,19.8
2024-11-08T12,10,19.6
2024-11-08T13,10,19.9
2024-11-08T14,10,19.8
2024-11-08T15,10,19.2
2024-11-08T16,10,18.9
2024-11-08T17,10,19.1
2024-11-08T18,10,18.8
2024-11-08T19,10,17.5
2024-11-08T20,10,15.5
2024-11-08T21,10,13.5
2024-11-08T22,10,12.9
2024-11-08T23,10,13.6
2024-11-09T00,10,14.0
2024-11-09T01,10,14.2
2024-11-09T02,10,14.2
2024-11-09T03,10,14.2
2024-11-09T04,10,14.2
2024-11-09T05,10,14.1
2024-11-09T06,10,13.9
2024-11-09T07,10,14.0
2024-11-09T08,10,13.9
2024-11-09T09,10,13.9
2024-11-09T10,10,14.1
2024-11-09T11,10,14.2
2024-11-09T12,10,14.2
2024-11-09T13,10,14.2
2024-11-09T14,10,14.2
2024-11-09T15,10,14.2
2024-11-09T16,10,14.1
2024-11-09T17,10,14.1
2024-11-09T18,10,14.2
2024-11-09T19,10,14.4
2024-11-09T20,10,14.4
2024-11-09T21,10,14.3
2024-11-09T22,10,14.2
2024-11-09T23,10,14.1
2024-11-10T00,10,14.0
2024-11-10T01,10,13.9
2024-11-10T02,10,13.6
2024-11-10T03,10,13.5
2024-11-10T04,10,13.4
2024-11-10T05,10,13.3
2024-11-10T06,10,13.3
2024-11-10T07,10,13.6
2024-11-10T08,10,14.3
2024-11-10T09,10,14.6
2024-11-10T10,10,14.8
2024-11-10T11,10,14.6
2024-11-10T12,10,14.4
2024-11-10T13,10,14.4
2024-11-10T14,10,14.3
2024-11-10T15,10,14.2
2024-11-10T16,16,14.2
2024-11-10T17,16,14.1
2024-11-10T18,16,14.1
2024-11-10T19,10,13.1
2024-11-10T20,10,11.9
2024-11-10T21,10,11.0
2024-11-10T22,10,10.5
2024-11-10T23,10,9.9
2024-11-11T00,10,9.3
2024-11-11T01,10,8.9
2024-11-11T02,10,8.6
2024-11-11T03,10,8.3
2024-11-11T04,10,8.1
2024-11-11T05,10,8.1
2024-11-11T06,10,8.1
2024-11-11T07,10,8.1
2024-11-11T08,10,8.0
2024-11-11T09,10,8.1
2024-11-11T10,10,8.5
2024-11-11T11,10,10.0
2024-11-11T12,18,11.9
2024-11-11T13,23,13.9
2024-11-11T14,26,15.5
2024-11-11T15,26,16.6
2024-11-11T16,26,16.9
2024-11-11T17,26,16.6
2024-11-11T18,26,16.1
2024-11-11T19,26,15.5
2024-11-11T20,26,15.1
2024-11-11T21,25,14.6
2024-11-11T22,25,14.2
2024-11-11T23,25,13.8
2024-11-12T00,25,13.4
2024-11-12T01,25,12.9
2024-11-12T02,25,12.3
2024-11-12T03,25,11.6
2024-11-12T04,25,11.0
2024-11-12T05,21,10.4
2024-11-12T06,21,9.9
2024-11-12T07,25,10.0
2024-11-12T08,25,10.2
