time,hum_rh,temp
2024-11-06T08,30,6.8
2024-11-06T09,30,7.0
2024-11-06T10,31,8.0
2024-11-06T11,31,11.6
2024-11-06T12,30,15.4
2024-11-06T13,22,18.2
2024-11-06T14,10,27.0
2024-11-06T15,10,30.5
2024-11-06T16,10,32.5
2024-11-06T17,10,33.2
2024-11-06T18,10,31.1
2024-11-06T19,10,28.2
2024-11-06T20,10,22.8
2024-11-06T21,10,19.1
2024-11-06T22,10,17.1
2024-11-06T23,10,15.4
2024-11-07T00,10,14.1
2024-11-07T01,10,13.1
2024-11-07T02,10,12.8
2024-11-07T03,10,12.8
2024-11-07T04,10,12.8
2024-11-07T05,10,12.5
2024-11-07T06,10,12.3
2024-11-07T07,10,11.4
2024-11-07T08,10,10.3
2024-11-07T09,10,9.6
2024-11-07T10,10,10.1
2024-11-07T11,15,18.3
2024-11-07T12,10,24.9
2024-11-07T13,10,30.2
2024-11-07T14,10,35.2
2024-11-07T15,10,38.6
2024-11-07T16,10,39.5
2024-11-07T17,10,38.9
2024-11-07T18,10,36.2
2024-11-07T19,10,26.8
2024-11-07T20,10,21.2
2024-11-07T21,10,21.3
2024-11-07T22,10,20.9
2024-11-07T23,10,20.6
2024-11-08T00,10,20.5
2024-11-08T01,10,20.4
2024-11-08T02,10,20.3
2024-11-08T03,10,20.3
2024-11-08T04,10,20.2
2024-11-08T05,10,20.2
2024-11-08T06,10,20.1
2024-11-08T07,10,20.1
2024-11-08T08,10,19.9
2024-11-08T09,10,19.9
2024-11-08T10,10,19.9
2024-11-08T11,10,19.8
2024-11-08T12,10,19.6
2024-11-08T13,10,20.1
2024-11-08T14,10,19.9
2024-11-08T15,10,19.1
2024-11-08T16,10,18.8
2024-11-08T17,10,19.1
2024-11-08T18,10,18.9
2024-11-08T19,10,17.6
2024-11-08T20,10,15.4
2024-11-08T21,10,13.3
2024-11-08T22,10,12.9
2024-11-08T23,10,13.8
2024-11-09T00,10,14.2
2024-11-09T01,10,14.3
2024-11-09T02,10,14.3
2024-11-09T03,10,14.3
2024-11-09T04,10,14.1
2024-11-09T05,10,14.1
2024-11-09T06,10,14.0
2024-11-09T07,10,14.0
2024-11-09T08,10,13.9
2024-11-09T09,10,14.1
2024-11-09T10,10,14.1
2024-11-09T11,10,14.3
2024-11-09T12,10,14.2
2024-11-09T13,10,14.2
2024-11-09T14,10,14.2
2024-11-09T15,10,14.2
2024-11-09T16,10,14.2
2024-11-09T17,10,14.1
2024-11-09T18,10,14.5
2024-11-09T19,10,14.5
2024-11-09T20,10,14.5
2024-11-09T21,10,14.3
2024-11-09T22,10,14.2
2024-11-09T23,10,14.1
2024-11-10T00,10,13.9
2024-11-10T01,10,13.8
2024-11-10T02,10,13.6
2024-11-10T03,10,13.5
2024-11-10T04,15,13.4
2024-11-10T05,15,13.3
2024-11-10T06,15,13.3
2024-11-10T07,15,14.1
2024-11-10T08,19,14.8
2024-11-10T09,20,14.9
2024-11-10T10,19,14.8
2024-11-10T11,19,14.5
2024-11-10T12,19,14.4
2024-11-10T13,19,14.3
2024-11-10T14,19,14.3
2024-11-10T15,19,14.2
2024-11-10T16,19,14.2
2024-11-10T17,21,14.1
2024-11-10T18,21,14.1
