time,hum_rh,temp
2024-10-28T11,29,22.9
2024-10-28T12,36,22.5
2024-10-28T13,31,23.1
2024-10-28T14,30,23.3
2024-10-28T15,29,23.4
2024-10-28T16,27,23.5
2024-10-28T17,26,23.4
2024-10-28T18,26,23.3
2024-10-28T19,26,23.3
2024-10-28T20,26,23.5
2024-10-28T21,25,23.5
2024-10-28T22,25,23.8
2024-10-28T23,25,23.6
2024-10-29T00,25,23.9
2024-10-29T01,25,24.0
2024-10-29T02,25,24.1
2024-10-29T03,24,24.1
2024-10-29T04,24,24.2
2024-10-29T05,24,23.6
2024-10-29T06,24,23.6
2024-10-29T07,22,23.6
2024-10-29T08,24,23.9
2024-10-29T09,24,24.2
2024-10-29T10,24,24.4
2024-10-29T11,21,22.6
2024-10-29T12,19,16.6
2024-10-29T13,12,14.6
2024-10-29T14,12,14.1
2024-10-29T15,19,14.6
2024-10-29T16,19,14.6
2024-10-29T17,19,14.1
2024-10-29T18,12,13.3
2024-10-29T19,12,12.8
2024-10-29T20,15,12.1
2024-10-29T21,15,11.5
2024-10-29T22,15,10.9
2024-10-29T23,10,10.3
2024-10-30T00,10,9.9
2024-10-30T01,10,9.3
2024-10-30T02,10,8.9
2024-10-30T03,10,8.8
2024-10-30T04,10,8.5
2024-10-30T05,10,8.5
2024-10-30T06,15,9.6
2024-10-30T07,20,12.0
2024-10-30T08,24,15.6
2024-10-30T09,24,17.1
2024-10-30T10,25,17.1
2024-10-30T11,25,17.0
2024-10-30T12,26,18.8
2024-10-30T13,26,20.5
2024-10-30T14,27,21.0
2024-10-30T15,28,21.4
2024-10-30T16,27,20.5
2024-10-30T17,26,19.4
2024-10-30T18,26,18.2
2024-10-30T19,26,16.9
2024-10-30T20,25,15.6
2024-10-30T21,24,14.5
2024-10-30T22,24,13.6
2024-10-30T23,21,12.9
2024-10-31T00,22,12.1
2024-10-31T01,23,11.5
2024-10-31T02,20,10.9
2024-10-31T03,20,10.3
2024-10-31T04,20,10.0
2024-10-31T05,20,9.8
2024-10-31T06,25,13.6
2024-10-31T07,25,15.1
2024-10-31T08,27,17.2
2024-10-31T09,27,18.3
2024-10-31T10,30,22.2
2024-10-31T11,33,26.4
2024-10-31T12,32,27.9
2024-10-31T13,34,29.5
2024-10-31T14,35,30.8
2024-10-31T15,34,30.4
2024-10-31T16,33,28.9
2024-10-31T17,33,26.5
2024-10-31T18,31,24.2
2024-10-31T19,31,22.3
2024-10-31T20,31,20.9
2024-10-31T21,30,19.9
2024-10-31T22,30,19.0
2024-10-31T23,29,18.2
2024-11-01T00,29,17.8
2024-11-01T01,30,17.3
2024-11-01T02,30,17.1
2024-11-01T03,30,16.9
2024-11-01T04,30,16.9
2024-11-01T05,30,17.1
2024-11-01T06,30,18.6
2024-11-01T07,31,20.2
2024-11-01T08,32,21.2
2024-11-01T09,33,22.1
2024-11-01T10,33,24.1
2024-11-01T11,35,25.6
2024-11-01T12,35,27.2
2024-11-01T13,34,24.6
2024-11-01T14,36,26.9
2024-11-01T15,35,27.2
2024-11-01T16,35,25.9
2024-11-01T17,33,23.8
2024-11-01T18,33,21.6
2024-11-01T19,31,19.5
2024-11-01T20,31,17.5
2024-11-01T21,31,15.8
2024-11-01T22,30,14.1
2024-11-01T23,29,12.8
2024-11-02T00,29,11.5
2024-11-02T01,28,10.4
2024-11-02T02,28,9.9
2024-11-02T03,27,9.8
2024-11-02T04,28,9.2
2024-11-02T05,27,8.9
2024-11-02T06,27,8.3
2024-11-02T07,27,8.1
2024-11-02T08,27,8.5
2024-11-02T09,29,9.8
2024-11-02T10,30,11.4
2024-11-02T11,30,13.6
2024-11-02T12,31,14.9
2024-11-02T13,31,15.5
2024-11-02T14,32,16.2
2024-11-02T15,32,16.8
2024-11-02T16,33,17.1
2024-11-02T17,33,17.2
2024-11-02T18,34,17.5
2024-11-02T19,32,17.8
2024-11-02T20,32,18.0
2024-11-02T21,33,18.2
2024-11-02T22,33,18.1
2024-11-02T23,33,18.1
2024-11-03T00,33,18.0
2024-11-03T01,33,17.9
2024-11-03T02,32,17.6
2024-11-03T03,34,17.3
2024-11-03T04,34,17.1
2024-11-03T05,34,16.8
2024-11-03T06,34,16.8
2024-11-03T07,34,17.1
2024-11-03T08,34,17.3
2024-11-03T09,34,17.8
2024-11-03T10,34,18.2
2024-11-03T11,34,18.5
2024-11-03T12,34,18.5
2024-11-03T13,34,18.5
2024-11-03T14,34,18.4
2024-11-03T15,34,18.3
2024-11-03T16,35,17.5
2024-11-03T17,34,16.2
2024-11-03T18,32,14.5
2024-11-03T19,32,12.5
2024-11-03T20,31,10.9
2024-11-03T21,30,9.2
2024-11-03T22,29,7.6
2024-11-03T23,30,6.2
2024-11-04T00,29,4.9
2024-11-04T01,27,3.8
2024-11-04T02,26,2.6
2024-11-04T03,27,1.6
2024-11-04T04,25,0.8
2024-11-04T05,25,0.2
2024-11-04T06,27,1.2
2024-11-04T07,30,5.2
2024-11-04T08,31,9.1
2024-11-04T09,31,10.6
2024-11-04T10,32,11.5
2024-11-04T11,32,11.9
2024-11-04T12,32,11.8
2024-11-04T13,32,11.4
2024-11-04T14,32,10.9
2024-11-04T15,31,10.4
2024-11-04T16,33,11.4
2024-11-04T17,34,14.3
2024-11-04T18,36,17.5
2024-11-04T19,36,20.6
2024-11-04T20,37,21.6
2024-11-04T21,36,21.3
2024-11-04T22,36,20.2
2024-11-04T23,35,18.9
2024-11-05T00,35,17.6
2024-11-05T01,35,16.2
2024-11-05T02,34,14.9
2024-11-05T03,33,13.6
2024-11-05T04,32,12.6
2024-11-05T05,33,11.5
2024-11-05T06,32,10.4
2024-11-05T07,31,9.5
2024-11-05T08,31,8.8
2024-11-05T09,31,8.1
2024-11-05T10,34,11.3
2024-11-05T11,35,15.1
