time,hum_rh,temp
2024-10-28T12,31,22.9
2024-10-28T13,30,23.1
2024-10-28T14,29,23.2
2024-10-28T15,27,23.2
2024-10-28T16,29,23.6
2024-10-28T17,27,23.3
2024-10-28T18,26,23.1
2024-10-28T19,25,23.2
2024-10-28T20,25,23.4
2024-10-28T21,25,23.5
2024-10-28T22,25,23.6
2024-10-28T23,25,23.6
2024-10-29T00,24,23.8
2024-10-29T01,24,23.8
2024-10-29T02,24,23.9
2024-10-29T03,22,24.0
2024-10-29T04,22,24.0
2024-10-29T05,22,23.6
2024-10-29T06,21,23.4
2024-10-29T07,21,23.5
2024-10-29T08,22,23.8
2024-10-29T09,22,24.1
2024-10-29T10,22,24.2
2024-10-29T11,28,17.4
2024-10-29T12,24,13.6
2024-10-29T13,22,12.8
2024-10-29T14,21,12.6
2024-10-29T15,21,13.1
2024-10-29T16,21,13.6
2024-10-29T17,21,13.8
2024-10-29T18,21,13.8
2024-10-29T19,20,13.3
2024-10-29T20,21,12.9
2024-10-29T21,23,12.5
2024-10-29T22,21,12.0
2024-10-29T23,21,11.4
2024-10-30T00,16,10.9
2024-10-30T01,21,10.3
2024-10-30T02,21,9.9
2024-10-30T03,16,9.5
2024-10-30T04,16,9.2
2024-10-30T05,16,9.0
2024-10-30T06,21,9.2
2024-10-30T07,21,12.6
2024-10-30T08,27,16.2
2024-10-30T09,27,17.1
2024-10-30T10,28,17.0
2024-10-30T11,28,17.0
2024-10-30T12,29,18.9
2024-10-30T13,30,20.3
2024-10-30T14,30,20.9
2024-10-30T15,30,21.3
2024-10-30T16,30,20.2
2024-10-30T17,30,19.2
2024-10-30T18,28,17.9
2024-10-30T19,28,16.5
2024-10-30T20,28,15.2
2024-10-30T21,27,14.1
2024-10-30T22,26,13.3
2024-10-30T23,27,12.5
2024-10-31T00,26,11.8
2024-10-31T01,26,11.1
2024-10-31T02,25,10.5
2024-10-31T03,25,10.0
2024-10-31T04,25,9.6
2024-10-31T05,25,9.8
2024-10-31T06,29,14.2
2024-10-31T07,30,16.0
2024-10-31T08,31,17.5
2024-10-31T09,31,18.4
2024-10-31T10,33,21.3
2024-10-31T11,36,25.3
2024-10-31T12,36,27.0
2024-10-31T13,36,28.5
2024-10-31T14,37,29.9
2024-10-31T15,36,29.5
2024-10-31T16,36,28.3
2024-10-31T17,35,26.1
2024-10-31T18,34,23.9
2024-10-31T19,34,21.8
2024-10-31T20,34,20.3
2024-10-31T21,33,19.3
2024-10-31T22,32,18.4
2024-10-31T23,31,17.6
2024-11-01T00,33,17.2
2024-11-01T01,33,17.0
2024-11-01T02,33,16.8
2024-11-01T03,33,16.6
2024-11-01T04,33,16.6
2024-11-01T05,34,17.0
2024-11-01T06,34,18.6
2024-11-01T07,35,19.5
2024-11-01T08,35,20.5
2024-11-01T09,36,21.6
2024-11-01T10,36,23.4
2024-11-01T11,38,24.9
2024-11-01T12,39,26.6
2024-11-01T13,38,24.3
2024-11-01T14,40,26.4
2024-11-01T15,39,26.8
2024-11-01T16,38,25.5
2024-11-01T17,36,23.2
2024-11-01T18,36,21.0
2024-11-01T19,35,18.9
2024-11-01T20,35,17.0
2024-11-01T21,34,15.2
2024-11-01T22,33,13.6
2024-11-01T23,34,12.3
2024-11-02T00,33,11.2
2024-11-02T01,32,10.2
2024-11-02T02,32,9.8
2024-11-02T03,32,9.8
2024-11-02T04,31,9.3
2024-11-02T05,31,8.8
2024-11-02T06,31,8.2
2024-11-02T07,31,8.1
2024-11-02T08,31,8.3
2024-11-02T09,32,9.5
2024-11-02T10,34,10.9
2024-11-02T11,34,12.8
2024-11-02T12,35,14.6
2024-11-02T13,36,15.6
2024-11-02T14,36,16.2
2024-11-02T15,36,16.6
2024-11-02T16,36,16.9
2024-11-02T17,37,17.2
2024-11-02T18,37,17.3
2024-11-02T19,37,17.5
2024-11-02T20,36,17.8
2024-11-02T21,36,17.9
2024-11-02T22,36,17.8
2024-11-02T23,36,17.8
2024-11-03T00,36,17.6
2024-11-03T01,37,17.4
2024-11-03T02,37,17.2
2024-11-03T03,37,16.9
2024-11-03T04,37,16.6
2024-11-03T05,37,16.3
2024-11-03T06,37,16.3
2024-11-03T07,37,16.9
2024-11-03T08,37,17.2
2024-11-03T09,36,17.8
2024-11-03T10,37,18.2
2024-11-03T11,37,18.4
2024-11-03T12,37,18.4
2024-11-03T13,37,18.3
2024-11-03T14,37,18.2
2024-11-03T15,37,18.1
2024-11-03T16,37,16.8
2024-11-03T17,36,14.8
2024-11-03T18,35,12.6
2024-11-03T19,35,10.6
2024-11-03T20,34,8.9
