State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,60,-10,1,0
Alaska,58.3019,-134.4197,43,-19,0,0
Arizona,33.4484,-112.074,64,-1,209,0
Arkansas,34.7465,-92.2896,60,-12,13,0
California,34.0522,-118.2437,59,2,0,0
Colorado,39.7392,-104.9903,60,-16,1,0
Connecticut,41.1792,-73.1894,55,-10,0,0
Delaware,39.7391,-75.5398,59,-15,0,0
Florida,30.3322,-81.6557,59,-3,0,0
Georgia,33.749,-84.388,57,-10,0,0
Hawaii,21.3069,-157.8583,50,21,0,0
Idaho,43.615,-116.2023,59,-15,0,0
Illinois,41.8781,-87.6298,51,-14,0,0
Indiana,39.7684,-86.158,53,-16,0,0
Iowa,41.5868,-93.625,51,-33,0,126
Kansas,37.6872,-97.3301,61,-18,2,0
Kentucky,38.2527,-85.7585,58,-13,0,0
Louisiana,29.9509,-90.0758,55,-2,0,0
Maine,43.6591,-70.2568,50,-14,0,0
Maryland,39.2904,-76.6122,59,-14,0,0
Massachusetts,42.3601,-71.0589,53,-15,0,0
Michigan,42.3314,-83.0458,52,-15,0,0
Minnesota,44.9778,-93.265,52,-36,0,254
Mississippi,32.2988,-90.1848,61,-9,4,0
Missouri,39.0997,-94.5786,57,-22,0,13
Montana,45.7597,-108.5531,57,-23,0,10
Nebraska,41.2565,-95.9345,54,-30,0,92
Nevada,36.1716,-115.1391,67,-3,147,0
New Hampshire,42.9956,-71.465,53,-17,0,0
New Jersey,40.7357,-74.1724,56,-11,0,0
New Mexico,35.0844,-106.6504,61,-7,2,0
New York,40.7128,-73.8292,55,-10,0,0
North Carolina,35.2271,-80.8431,59,-9,0,0
North Dakota,46.8772,-96.7898,55,-37,0,367
Ohio,39.9612,-82.9988,54,-16,0,0
Oklahoma,35.4676,-97.5164,61,-14,1,0
Oregon,45.5152,-122.6784,55,-8,0,0
Pennsylvania,39.9526,-75.1652,57,-16,0,0
Rhode Island,41.8236,-71.4222,55,-15,0,0
South Carolina,32.7833,-79.932,55,-1,0,0
South Dakota,43.546,-96.7313,52,-36,0,149
Tennessee,35.1495,-90.049,60,-11,1,0
Texas,29.7604,-95.3698,59,-5,0,0
Utah,40.7608,-111.891,59,-20,0,1
Vermont,44.4759,-73.2121,53,-23,0,21
Virginia,36.8516,-75.9792,56,-4,0,0
Washington,47.6062,-122.3321,50,-9,0,0
West Virginia,38.3498,-81.6326,58,-15,0,0
Wisconsin,43.0389,-87.9065,50,-19,0,0
Wyoming,41.14,-104.8202,58,-20,0,5
