State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,66,3
Alaska,58.3019,-134.4197,47,0
Arizona,33.4484,-112.074,70,145
Arkansas,34.7465,-92.2896,66,16
California,34.0522,-118.2437,62,0
Colorado,39.7392,-104.9903,67,7
Connecticut,41.1792,-73.1894,59,0
Delaware,39.7391,-75.5398,65,1
Florida,30.3322,-81.6557,58,0
Georgia,33.749,-84.388,66,5
Hawaii,21.3069,-157.8583,55,0
Idaho,43.615,-116.2023,65,2
Illinois,41.8781,-87.6298,62,0
Indiana,39.7684,-86.158,65,3
Iowa,41.5868,-93.625,67,7
Kansas,37.6872,-97.3301,70,11
Kentucky,38.2527,-85.7585,67,4
Louisiana,29.9509,-90.0758,60,0
Maine,43.6591,-70.2568,52,0
Maryland,39.2904,-76.6122,66,2
Massachusetts,42.3601,-71.0589,59,0
Michigan,42.3314,-83.0458,58,0
Minnesota,44.9778,-93.265,62,0
Mississippi,32.2988,-90.1848,66,2
Missouri,39.0997,-94.5786,68,18
Montana,45.7597,-108.5531,63,0
Nebraska,41.2565,-95.9345,65,3
Nevada,36.1716,-115.1391,69,74
New Hampshire,42.9956,-71.465,58,0
New Jersey,40.7357,-74.1724,62,0
New Mexico,35.0844,-106.6504,65,1
New York,40.7128,-73.8292,60,0
North Carolina,35.2271,-80.8431,64,0
North Dakota,46.8772,-96.7898,64,0
Ohio,39.9612,-82.9988,65,1
Oklahoma,35.4676,-97.5164,71,39
Oregon,45.5152,-122.6784,60,0
Pennsylvania,39.9526,-75.1652,64,0
Rhode Island,41.8236,-71.4222,59,0
South Carolina,32.7833,-79.932,60,0
South Dakota,43.546,-96.7313,67,6
Tennessee,35.1495,-90.049,66,7
Texas,29.7604,-95.3698,66,6
Utah,40.7608,-111.891,66,1
Vermont,44.4759,-73.2121,57,0
Virginia,36.8516,-75.9792,62,0
Washington,47.6062,-122.3321,55,0
West Virginia,38.3498,-81.6326,67,3
Wisconsin,43.0389,-87.9065,64,0
Wyoming,41.14,-104.8202,65,1
