State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,45,0
Alaska,58.3019,-134.4197,30,0
Arizona,33.4484,-112.074,51,0
Arkansas,34.7465,-92.2896,48,0
California,34.0522,-118.2437,46,0
Colorado,39.7392,-104.9903,43,0
Connecticut,41.1792,-73.1894,42,0
Delaware,39.7391,-75.5398,44,0
Florida,30.3322,-81.6557,44,0
Georgia,33.749,-84.388,44,0
Hawaii,21.3069,-157.8583,35,0
Idaho,43.615,-116.2023,45,0
Illinois,41.8781,-87.6298,36,0
Indiana,39.7684,-86.158,39,0
Iowa,41.5868,-93.625,38,0
Kansas,37.6872,-97.3301,47,0
Kentucky,38.2527,-85.7585,43,0
Louisiana,29.9509,-90.0758,40,0
Maine,43.6591,-70.2568,35,0
Maryland,39.2904,-76.6122,45,0
Massachusetts,42.3601,-71.0589,39,0
Michigan,42.3314,-83.0458,38,0
Minnesota,44.9778,-93.265,38,0
Mississippi,32.2988,-90.1848,47,0
Missouri,39.0997,-94.5786,42,0
Montana,45.7597,-108.5531,44,0
Nebraska,41.2565,-95.9345,41,0
Nevada,36.1716,-115.1391,52,0
New Hampshire,42.9956,-71.465,39,0
New Jersey,40.7357,-74.1724,43,0
New Mexico,35.0844,-106.6504,45,0
New York,40.7128,-73.8292,42,0
North Carolina,35.2271,-80.8431,44,0
North Dakota,46.8772,-96.7898,42,0
Ohio,39.9612,-82.9988,40,0
Oklahoma,35.4676,-97.5164,46,0
Oregon,45.5152,-122.6784,42,0
Pennsylvania,39.9526,-75.1652,44,0
Rhode Island,41.8236,-71.4222,42,0
South Carolina,32.7833,-79.932,40,0
South Dakota,43.546,-96.7313,39,0
Tennessee,35.1495,-90.049,46,0
Texas,29.7604,-95.3698,44,0
Utah,40.7608,-111.891,44,0
Vermont,44.4759,-73.2121,40,0
Virginia,36.8516,-75.9792,41,0
Washington,47.6062,-122.3321,37,0
West Virginia,38.3498,-81.6326,42,0
Wisconsin,43.0389,-87.9065,35,0
Wyoming,41.14,-104.8202,41,0
