State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,74,292
Alaska,58.3019,-134.4197,56,0
Arizona,33.4484,-112.074,78,977
Arkansas,34.7465,-92.2896,74,396
California,34.0522,-118.2437,71,62
Colorado,39.7392,-104.9903,75,124
Connecticut,41.1792,-73.1894,67,20
Delaware,39.7391,-75.5398,71,138
Florida,30.3322,-81.6557,72,150
Georgia,33.749,-84.388,71,239
Hawaii,21.3069,-157.8583,65,1
Idaho,43.615,-116.2023,72,138
Illinois,41.8781,-87.6298,65,1
Indiana,39.7684,-86.158,67,22
Iowa,41.5868,-93.625,66,5
Kansas,37.6872,-97.3301,74,147
Kentucky,38.2527,-85.7585,71,152
Louisiana,29.9509,-90.0758,68,49
Maine,43.6591,-70.2568,64,0
Maryland,39.2904,-76.6122,73,142
Massachusetts,42.3601,-71.0589,65,4
Michigan,42.3314,-83.0458,65,8
Minnesota,44.9778,-93.265,65,3
Mississippi,32.2988,-90.1848,74,392
Missouri,39.0997,-94.5786,71,34
Montana,45.7597,-108.5531,70,78
Nebraska,41.2565,-95.9345,66,16
Nevada,36.1716,-115.1391,80,845
New Hampshire,42.9956,-71.465,66,8
New Jersey,40.7357,-74.1724,68,57
New Mexico,35.0844,-106.6504,75,236
New York,40.7128,-73.8292,67,29
North Carolina,35.2271,-80.8431,72,223
North Dakota,46.8772,-96.7898,67,7
Ohio,39.9612,-82.9988,68,53
Oklahoma,35.4676,-97.5164,74,254
Oregon,45.5152,-122.6784,67,14
Pennsylvania,39.9526,-75.1652,70,118
Rhode Island,41.8236,-71.4222,67,23
South Carolina,32.7833,-79.932,69,82
South Dakota,43.546,-96.7313,65,4
Tennessee,35.1495,-90.049,72,314
Texas,29.7604,-95.3698,73,244
Utah,40.7608,-111.891,73,147
Vermont,44.4759,-73.2121,65,6
Virginia,36.8516,-75.9792,70,57
Washington,47.6062,-122.3321,63,0
West Virginia,38.3498,-81.6326,71,104
Wisconsin,43.0389,-87.9065,64,0
Wyoming,41.14,-104.8202,73,49
