State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,57,-12,0,0
Alaska,58.3019,-134.4197,46,-18,0,0
Arizona,33.4484,-112.074,66,0,296,0
Arkansas,34.7465,-92.2896,59,-14,0,0
California,34.0522,-118.2437,61,2,4,0
Colorado,39.7392,-104.9903,59,-13,0,0
Connecticut,41.1792,-73.1894,52,-17,0,0
Delaware,39.7391,-75.5398,57,-17,0,0
Florida,30.3322,-81.6557,56,-3,0,0
Georgia,33.749,-84.388,56,-10,0,0
Hawaii,21.3069,-157.8583,51,21,0,0
Idaho,43.615,-116.2023,62,-12,10,0
Illinois,41.8781,-87.6298,51,-17,0,0
Indiana,39.7684,-86.158,53,-23,0,21
Iowa,41.5868,-93.625,57,-25,0,31
Kansas,37.6872,-97.3301,58,-16,0,0
Kentucky,38.2527,-85.7585,54,-18,0,0
Louisiana,29.9509,-90.0758,55,-4,0,0
Maine,43.6591,-70.2568,50,-20,0,2
Maryland,39.2904,-76.6122,54,-16,0,0
Massachusetts,42.3601,-71.0589,53,-20,0,2
Michigan,42.3314,-83.0458,52,-22,0,11
Minnesota,44.9778,-93.265,53,-26,0,189
Mississippi,32.2988,-90.1848,59,-10,0,0
Missouri,39.0997,-94.5786,59,-21,0,6
Montana,45.7597,-108.5531,60,-23,2,17
Nebraska,41.2565,-95.9345,56,-24,0,28
Nevada,36.1716,-115.1391,64,-2,202,0
New Hampshire,42.9956,-71.465,53,-24,0,34
New Jersey,40.7357,-74.1724,57,-17,0,0
New Mexico,35.0844,-106.6504,59,-9,0,0
New York,40.7128,-73.8292,55,-16,0,0
North Carolina,35.2271,-80.8431,57,-12,0,0
North Dakota,46.8772,-96.7898,58,-27,0,295
Ohio,39.9612,-82.9988,54,-19,0,0
Oklahoma,35.4676,-97.5164,63,-14,9,0
Oregon,45.5152,-122.6784,57,-8,0,0
Pennsylvania,39.9526,-75.1652,55,-19,0,0
Rhode Island,41.8236,-71.4222,54,-20,0,3
South Carolina,32.7833,-79.932,54,-3,0,0
South Dakota,43.546,-96.7313,54,-27,0,75
Tennessee,35.1495,-90.049,58,-15,0,0
Texas,29.7604,-95.3698,60,-6,1,0
Utah,40.7608,-111.891,59,-13,0,0
Vermont,44.4759,-73.2121,56,-29,0,116
Virginia,36.8516,-75.9792,51,-8,0,0
Washington,47.6062,-122.3321,50,-5,0,0
West Virginia,38.3498,-81.6326,56,-16,0,0
Wisconsin,43.0389,-87.9065,51,-20,0,6
Wyoming,41.14,-104.8202,56,-18,0,0
