State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,58,-6,0,0
Alaska,58.3019,-134.4197,45,-17,0,0
Arizona,33.4484,-112.074,66,0,7,0
Arkansas,34.7465,-92.2896,59,-7,0,0
California,34.0522,-118.2437,59,2,0,0
Colorado,39.7392,-104.9903,59,-16,0,0
Connecticut,41.1792,-73.1894,53,-18,0,0
Delaware,39.7391,-75.5398,57,-14,0,0
Florida,30.3322,-81.6557,56,0,0,0
Georgia,33.749,-84.388,59,-6,0,0
Hawaii,21.3069,-157.8583,51,21,0,0
Idaho,43.615,-116.2023,58,-19,0,0
Illinois,41.8781,-87.6298,51,-16,0,0
Indiana,39.7684,-86.158,54,-19,0,0
Iowa,41.5868,-93.625,54,-24,0,24
Kansas,37.6872,-97.3301,60,-16,0,0
Kentucky,38.2527,-85.7585,54,-19,0,0
Louisiana,29.9509,-90.0758,54,2,0,0
Maine,43.6591,-70.2568,50,-19,0,0
Maryland,39.2904,-76.6122,57,-13,0,0
Massachusetts,42.3601,-71.0589,54,-21,0,6
Michigan,42.3314,-83.0458,53,-16,0,0
Minnesota,44.9778,-93.265,52,-33,0,190
Mississippi,32.2988,-90.1848,59,-5,0,0
Missouri,39.0997,-94.5786,56,-19,0,0
Montana,45.7597,-108.5531,59,-26,0,12
Nebraska,41.2565,-95.9345,55,-22,0,12
Nevada,36.1716,-115.1391,67,-2,4,0
New Hampshire,42.9956,-71.465,55,-24,0,20
New Jersey,40.7357,-74.1724,54,-16,0,0
New Mexico,35.0844,-106.6504,63,-10,0,0
New York,40.7128,-73.8292,53,-15,0,0
North Carolina,35.2271,-80.8431,58,-8,0,0
North Dakota,46.8772,-96.7898,54,-32,0,222
Ohio,39.9612,-82.9988,55,-15,0,0
Oklahoma,35.4676,-97.5164,57,-11,0,0
Oregon,45.5152,-122.6784,57,-7,0,0
Pennsylvania,39.9526,-75.1652,56,-16,0,0
Rhode Island,41.8236,-71.4222,54,-21,0,6
South Carolina,32.7833,-79.932,55,0,0,0
South Dakota,43.546,-96.7313,55,-25,0,43
Tennessee,35.1495,-90.049,58,-10,0,0
Texas,29.7604,-95.3698,58,-1,0,0
Utah,40.7608,-111.891,59,-19,0,0
Vermont,44.4759,-73.2121,51,-28,0,52
Virginia,36.8516,-75.9792,54,-6,0,0
Washington,47.6062,-122.3321,50,-5,0,0
West Virginia,38.3498,-81.6326,57,-12,0,0
Wisconsin,43.0389,-87.9065,52,-23,0,28
Wyoming,41.14,-104.8202,57,-20,0,2
