State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,59,-7,0,0
Alaska,58.3019,-134.4197,48,-21,0,24
Arizona,33.4484,-112.074,65,-2,6,0
Arkansas,34.7465,-92.2896,58,-7,0,0
California,34.0522,-118.2437,55,2,0,0
Colorado,39.7392,-104.9903,57,-14,0,0
Connecticut,41.1792,-73.1894,53,-15,0,0
Delaware,39.7391,-75.5398,55,-16,0,0
Florida,30.3322,-81.6557,58,1,0,0
Georgia,33.749,-84.388,58,-6,0,0
Hawaii,21.3069,-157.8583,52,20,0,0
Idaho,43.615,-116.2023,60,-12,0,0
Illinois,41.8781,-87.6298,50,-26,0,34
Indiana,39.7684,-86.158,52,-24,0,26
Iowa,41.5868,-93.625,53,-33,0,69
Kansas,37.6872,-97.3301,54,-14,0,0
Kentucky,38.2527,-85.7585,55,-17,0,0
Louisiana,29.9509,-90.0758,55,0,0,0
Maine,43.6591,-70.2568,50,-17,0,0
Maryland,39.2904,-76.6122,55,-16,0,0
Massachusetts,42.3601,-71.0589,52,-17,0,0
Michigan,42.3314,-83.0458,50,-21,0,20
Minnesota,44.9778,-93.265,52,-37,0,344
Mississippi,32.2988,-90.1848,58,-8,0,0
Missouri,39.0997,-94.5786,53,-21,0,4
Montana,45.7597,-108.5531,58,-31,0,59
Nebraska,41.2565,-95.9345,53,-26,0,35
Nevada,36.1716,-115.1391,64,-2,0,0
New Hampshire,42.9956,-71.465,54,-20,0,8
New Jersey,40.7357,-74.1724,52,-16,0,0
New Mexico,35.0844,-106.6504,58,-11,0,0
New York,40.7128,-73.8292,52,-15,0,0
North Carolina,35.2271,-80.8431,58,-6,0,0
North Dakota,46.8772,-96.7898,54,-43,0,549
Ohio,39.9612,-82.9988,53,-23,0,22
Oklahoma,35.4676,-97.5164,57,-9,0,0
Oregon,45.5152,-122.6784,56,-6,0,0
Pennsylvania,39.9526,-75.1652,53,-17,0,0
Rhode Island,41.8236,-71.4222,53,-17,0,0
South Carolina,32.7833,-79.932,56,1,0,0
South Dakota,43.546,-96.7313,51,-33,0,132
Tennessee,35.1495,-90.049,58,-7,0,0
Texas,29.7604,-95.3698,58,-2,0,0
Utah,40.7608,-111.891,59,-17,0,0
Vermont,44.4759,-73.2121,52,-27,0,85
Virginia,36.8516,-75.9792,54,-5,0,0
Washington,47.6062,-122.3321,51,-7,0,0
West Virginia,38.3498,-81.6326,57,-15,0,0
Wisconsin,43.0389,-87.9065,51,-32,0,73
Wyoming,41.14,-104.8202,55,-18,0,0
