State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,74,283
Alaska,58.3019,-134.4197,55,0
Arizona,33.4484,-112.074,79,960
Arkansas,34.7465,-92.2896,74,378
California,34.0522,-118.2437,71,56
Colorado,39.7392,-104.9903,76,112
Connecticut,41.1792,-73.1894,67,16
Delaware,39.7391,-75.5398,72,132
Florida,30.3322,-81.6557,73,135
Georgia,33.749,-84.388,71,229
Hawaii,21.3069,-157.8583,64,0
Idaho,43.615,-116.2023,73,130
Illinois,41.8781,-87.6298,64,0
Indiana,39.7684,-86.158,67,18
Iowa,41.5868,-93.625,66,3
Kansas,37.6872,-97.3301,75,133
Kentucky,38.2527,-85.7585,72,138
Louisiana,29.9509,-90.0758,68,42
Maine,43.6591,-70.2568,63,0
Maryland,39.2904,-76.6122,73,130
Massachusetts,42.3601,-71.0589,65,3
Michigan,42.3314,-83.0458,65,5
Minnesota,44.9778,-93.265,65,2
Mississippi,32.2988,-90.1848,75,370
Missouri,39.0997,-94.5786,71,27
Montana,45.7597,-108.5531,70,75
Nebraska,41.2565,-95.9345,66,9
Nevada,36.1716,-115.1391,82,839
New Hampshire,42.9956,-71.465,65,5
New Jersey,40.7357,-74.1724,69,51
New Mexico,35.0844,-106.6504,76,224
New York,40.7128,-73.8292,67,21
North Carolina,35.2271,-80.8431,73,207
North Dakota,46.8772,-96.7898,67,6
Ohio,39.9612,-82.9988,68,46
Oklahoma,35.4676,-97.5164,75,241
Oregon,45.5152,-122.6784,67,13
Pennsylvania,39.9526,-75.1652,70,110
Rhode Island,41.8236,-71.4222,67,20
South Carolina,32.7833,-79.932,69,64
South Dakota,43.546,-96.7313,65,3
Tennessee,35.1495,-90.049,73,301
Texas,29.7604,-95.3698,73,230
Utah,40.7608,-111.891,74,131
Vermont,44.4759,-73.2121,65,4
Virginia,36.8516,-75.9792,70,44
Washington,47.6062,-122.3321,62,0
West Virginia,38.3498,-81.6326,72,91
Wisconsin,43.0389,-87.9065,64,0
Wyoming,41.14,-104.8202,73,42
