State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,58,-6,0,0
Alaska,58.3019,-134.4197,45,-21,0,21
Arizona,33.4484,-112.074,67,-1,34,0
Arkansas,34.7465,-92.2896,56,-5,0,0
California,34.0522,-118.2437,63,4,0,0
Colorado,39.7392,-104.9903,58,-15,0,0
Connecticut,41.1792,-73.1894,54,-10,0,0
Delaware,39.7391,-75.5398,56,-8,0,0
Florida,30.3322,-81.6557,56,-1,0,0
Georgia,33.749,-84.388,57,-5,0,0
Hawaii,21.3069,-157.8583,51,21,0,0
Idaho,43.615,-116.2023,59,-11,0,0
Illinois,41.8781,-87.6298,52,-14,0,0
Indiana,39.7684,-86.158,54,-15,0,0
Iowa,41.5868,-93.625,57,-20,0,3
Kansas,37.6872,-97.3301,57,-11,0,0
Kentucky,38.2527,-85.7585,54,-9,0,0
Louisiana,29.9509,-90.0758,53,2,0,0
Maine,43.6591,-70.2568,50,-17,0,0
Maryland,39.2904,-76.6122,56,-10,0,0
Massachusetts,42.3601,-71.0589,55,-14,0,0
Michigan,42.3314,-83.0458,53,-16,0,0
Minnesota,44.9778,-93.265,53,-31,0,48
Mississippi,32.2988,-90.1848,57,-4,0,0
Missouri,39.0997,-94.5786,54,-16,0,0
Montana,45.7597,-108.5531,58,-15,0,0
Nebraska,41.2565,-95.9345,57,-19,0,0
Nevada,36.1716,-115.1391,66,-1,21,0
New Hampshire,42.9956,-71.465,54,-22,0,2
New Jersey,40.7357,-74.1724,54,-10,0,0
New Mexico,35.0844,-106.6504,60,-6,0,0
New York,40.7128,-73.8292,52,-8,0,0
North Carolina,35.2271,-80.8431,55,-6,0,0
North Dakota,46.8772,-96.7898,55,-33,0,106
Ohio,39.9612,-82.9988,54,-12,0,0
Oklahoma,35.4676,-97.5164,59,-8,0,0
Oregon,45.5152,-122.6784,58,-3,0,0
Pennsylvania,39.9526,-75.1652,56,-9,0,0
Rhode Island,41.8236,-71.4222,56,-13,0,0
South Carolina,32.7833,-79.932,54,-1,0,0
South Dakota,43.546,-96.7313,58,-26,0,26
Tennessee,35.1495,-90.049,56,-6,0,0
Texas,29.7604,-95.3698,59,0,0,0
Utah,40.7608,-111.891,58,-10,0,0
Vermont,44.4759,-73.2121,53,-28,0,25
Virginia,36.8516,-75.9792,52,-1,0,0
Washington,47.6062,-122.3321,53,-3,0,0
West Virginia,38.3498,-81.6326,55,-10,0,0
Wisconsin,43.0389,-87.9065,52,-21,0,1
Wyoming,41.14,-104.8202,56,-17,0,0
