State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,60,1709
Alaska,58.3019,-134.4197,43,33
Arizona,33.4484,-112.074,64,2517
Arkansas,34.7465,-92.2896,60,1734
California,34.0522,-118.2437,59,1556
Colorado,39.7392,-104.9903,60,1271
Connecticut,41.1792,-73.1894,55,874
Delaware,39.7391,-75.5398,59,1193
Florida,30.3322,-81.6557,59,1954
Georgia,33.749,-84.388,57,1644
Hawaii,21.3069,-157.8583,50,2637
Idaho,43.615,-116.2023,59,1058
Illinois,41.8781,-87.6298,51,784
Indiana,39.7684,-86.158,53,1204
Iowa,41.5868,-93.625,51,1027
Kansas,37.6872,-97.3301,61,1470
Kentucky,38.2527,-85.7585,58,1421
Louisiana,29.9509,-90.0758,55,1741
Maine,43.6591,-70.2568,50,502
Maryland,39.2904,-76.6122,59,1230
Massachusetts,42.3601,-71.0589,53,790
Michigan,42.3314,-83.0458,52,882
Minnesota,44.9778,-93.265,52,792
Mississippi,32.2988,-90.1848,61,1861
Missouri,39.0997,-94.5786,57,1263
Montana,45.7597,-108.5531,57,939
Nebraska,41.2565,-95.9345,54,1129
Nevada,36.1716,-115.1391,67,2135
New Hampshire,42.9956,-71.465,53,786
New Jersey,40.7357,-74.1724,56,994
New Mexico,35.0844,-106.6504,61,1677
New York,40.7128,-73.8292,55,917
North Carolina,35.2271,-80.8431,59,1543
North Dakota,46.8772,-96.7898,55,794
Ohio,39.9612,-82.9988,54,1149
Oklahoma,35.4676,-97.5164,61,1633
Oregon,45.5152,-122.6784,55,488
Pennsylvania,39.9526,-75.1652,57,1143
Rhode Island,41.8236,-71.4222,55,877
South Carolina,32.7833,-79.932,55,1703
South Dakota,43.546,-96.7313,52,919
Tennessee,35.1495,-90.049,60,1749
Texas,29.7604,-95.3698,59,1928
Utah,40.7608,-111.891,59,1142
Vermont,44.4759,-73.2121,53,650
Virginia,36.8516,-75.9792,56,1198
Washington,47.6062,-122.3321,50,320
West Virginia,38.3498,-81.6326,58,1292
Wisconsin,43.0389,-87.9065,50,741
Wyoming,41.14,-104.8202,58,980
